,Code,Company,Exchange,Ex Code
268,HGF23,High Grade Copper {Jan 23},New York Commodity Exchange,COMEX
269,HGG21,High Grade Copper {Feb 21},New York Commodity Exchange,COMEX
270,HGG22,High Grade Copper {Feb 22},New York Commodity Exchange,COMEX
271,HGG23,High Grade Copper {Feb 23},New York Commodity Exchange,COMEX
272,HGH21,High Grade Copper {Mar 21},New York Commodity Exchange,COMEX
273,HGH22,High Grade Copper {Mar 22},New York Commodity Exchange,COMEX
274,HGH23,High Grade Copper {Mar 23},New York Commodity Exchange,COMEX
275,HGH24,High Grade Copper {Mar 24},New York Commodity Exchange,COMEX
276,HGH25,High Grade Copper {Mar 25},New York Commodity Exchange,COMEX
277,HGH26,High Grade Copper {Mar 26},New York Commodity Exchange,COMEX
278,HGJ21,High Grade Copper {Apr 21},New York Commodity Exchange,COMEX
279,HGJ22,High Grade Copper {Apr 22},New York Commodity Exchange,COMEX
280,HGK21,High Grade Copper {May 21},New York Commodity Exchange,COMEX
281,HGK22,High Grade Copper {May 22},New York Commodity Exchange,COMEX
282,HGK23,High Grade Copper {May 23},New York Commodity Exchange,COMEX
283,HGK24,High Grade Copper {May 24},New York Commodity Exchange,COMEX
284,HGK25,High Grade Copper {May 25},New York Commodity Exchange,COMEX
285,HGK26,High Grade Copper {May 26},New York Commodity Exchange,COMEX
286,HGM21,High Grade Copper {Jun 21},New York Commodity Exchange,COMEX
287,HGM22,High Grade Copper {Jun 22},New York Commodity Exchange,COMEX
288,HGN21,High Grade Copper {Jul 21},New York Commodity Exchange,COMEX
289,HGN22,High Grade Copper {Jul 22},New York Commodity Exchange,COMEX
290,HGN23,High Grade Copper {Jul 23},New York Commodity Exchange,COMEX
291,HGN24,High Grade Copper {Jul 24},New York Commodity Exchange,COMEX
292,HGN25,High Grade Copper {Jul 25},New York Commodity Exchange,COMEX
293,HGQ21,High Grade Copper {Aug 21},New York Commodity Exchange,COMEX
294,HGQ22,High Grade Copper {Aug 22},New York Commodity Exchange,COMEX
295,HGU21,High Grade Copper {Sep 21},New York Commodity Exchange,COMEX
296,HGU22,High Grade Copper {Sep 22},New York Commodity Exchange,COMEX
297,HGU23,High Grade Copper {Sep 23},New York Commodity Exchange,COMEX
298,HGU24,High Grade Copper {Sep 24},New York Commodity Exchange,COMEX
299,HGU25,High Grade Copper {Sep 25},New York Commodity Exchange,COMEX
300,HGV21,High Grade Copper {Oct 21},New York Commodity Exchange,COMEX
301,HGV22,High Grade Copper {Oct 22},New York Commodity Exchange,COMEX
302,HGX21,High Grade Copper {Nov 21},New York Commodity Exchange,COMEX
303,HGX22,High Grade Copper {Nov 22},New York Commodity Exchange,COMEX
304,HGZ21,High Grade Copper {Dec 21},New York Commodity Exchange,COMEX
305,HGZ22,High Grade Copper {Dec 22},New York Commodity Exchange,COMEX
306,HGZ23,High Grade Copper {Dec 23},New York Commodity Exchange,COMEX
307,HGZ24,High Grade Copper {Dec 24},New York Commodity Exchange,COMEX
308,HGZ25,High Grade Copper {Dec 25},New York Commodity Exchange,COMEX
309,HJ.C,High Grade Copper(F) Continuation,New York Commodity Exchange,COMEX
310,HJF22,High Grade Copper(F) {Jan 22},New York Commodity Exchange,COMEX
311,HJF23,High Grade Copper(F) {Jan 23},New York Commodity Exchange,COMEX
312,HJG21,High Grade Copper(F) {Feb 21},New York Commodity Exchange,COMEX
313,HJG22,High Grade Copper(F) {Feb 22},New York Commodity Exchange,COMEX
314,HJH21,High Grade Copper(F) {Mar 21},New York Commodity Exchange,COMEX
315,HJH22,High Grade Copper(F) {Mar 22},New York Commodity Exchange,COMEX
316,HJH23,High Grade Copper(F) {Mar 23},New York Commodity Exchange,COMEX
317,HJH24,High Grade Copper(F) {Mar 24},New York Commodity Exchange,COMEX
318,HJH25,High Grade Copper(F) {Mar 25},New York Commodity Exchange,COMEX
319,HJJ21,High Grade Copper(F) {Apr 21},New York Commodity Exchange,COMEX
320,HJJ22,High Grade Copper(F) {Apr 22},New York Commodity Exchange,COMEX
321,HJK21,High Grade Copper(F) {May 21},New York Commodity Exchange,COMEX
322,HJK22,High Grade Copper(F) {May 22},New York Commodity Exchange,COMEX
323,HJK23,High Grade Copper(F) {May 23},New York Commodity Exchange,COMEX
324,HJK24,High Grade Copper(F) {May 24},New York Commodity Exchange,COMEX
325,HJK25,High Grade Copper(F) {May 25},New York Commodity Exchange,COMEX
326,HJM21,High Grade Copper(F) {Jun 21},New York Commodity Exchange,COMEX
327,HJM22,High Grade Copper(F) {Jun 22},New York Commodity Exchange,COMEX
328,HJN21,High Grade Copper(F) {Jul 21},New York Commodity Exchange,COMEX
329,HJN22,High Grade Copper(F) {Jul 22},New York Commodity Exchange,COMEX
330,HJN23,High Grade Copper(F) {Jul 23},New York Commodity Exchange,COMEX
331,HJN24,High Grade Copper(F) {Jul 24},New York Commodity Exchange,COMEX
332,HJN25,High Grade Copper(F) {Jul 25},New York Commodity Exchange,COMEX
333,HJQ21,High Grade Copper(F) {Aug 21},New York Commodity Exchange,COMEX
334,HJQ22,High Grade Copper(F) {Aug 22},New York Commodity Exchange,COMEX
335,HJU21,High Grade Copper(F) {Sep 21},New York Commodity Exchange,COMEX
336,HJU22,High Grade Copper(F) {Sep 22},New York Commodity Exchange,COMEX
337,HJU23,High Grade Copper(F) {Sep 23},New York Commodity Exchange,COMEX
338,HJU24,High Grade Copper(F) {Sep 24},New York Commodity Exchange,COMEX
339,HJU25,High Grade Copper(F) {Sep 25},New York Commodity Exchange,COMEX
340,HJV21,High Grade Copper(F) {Oct 21},New York Commodity Exchange,COMEX
341,HJV22,High Grade Copper(F) {Oct 22},New York Commodity Exchange,COMEX
342,HJX21,High Grade Copper(F) {Nov 21},New York Commodity Exchange,COMEX
343,HJX22,High Grade Copper(F) {Nov 22},New York Commodity Exchange,COMEX
344,HJZ21,High Grade Copper(F) {Dec 21},New York Commodity Exchange,COMEX
345,HJZ22,High Grade Copper(F) {Dec 22},New York Commodity Exchange,COMEX
346,HJZ23,High Grade Copper(F) {Dec 23},New York Commodity Exchange,COMEX
347,HJZ24,High Grade Copper(F) {Dec 24},New York Commodity Exchange,COMEX
348,HJZ25,High Grade Copper(F) {Dec 25},New York Commodity Exchange,COMEX
349,HV.C,US Midwest Steel CRU Continuation,New York Commodity Exchange,COMEX
350,HVF22,US Midwest Steel CRU {Jan 22},New York Commodity Exchange,COMEX
351,HVG21,US Midwest Steel CRU {Feb 21},New York Commodity Exchange,COMEX
352,HVG22,US Midwest Steel CRU {Feb 22},New York Commodity Exchange,COMEX
353,HVH21,US Midwest Steel CRU {Mar 21},New York Commodity Exchange,COMEX
354,HVH22,US Midwest Steel CRU {Mar 22},New York Commodity Exchange,COMEX
355,HVJ21,US Midwest Steel CRU {Apr 21},New York Commodity Exchange,COMEX
356,HVJ22,US Midwest Steel CRU {Apr 22},New York Commodity Exchange,COMEX
357,HVK21,US Midwest Steel CRU {May 21},New York Commodity Exchange,COMEX
358,HVK22,US Midwest Steel CRU {May 22},New York Commodity Exchange,COMEX
359,HVM21,US Midwest Steel CRU {Jun 21},New York Commodity Exchange,COMEX
360,HVM22,US Midwest Steel CRU {Jun 22},New York Commodity Exchange,COMEX
361,HVN21,US Midwest Steel CRU {Jul 21},New York Commodity Exchange,COMEX
362,HVQ21,US Midwest Steel CRU {Aug 21},New York Commodity Exchange,COMEX
363,HVU21,US Midwest Steel CRU {Sep 21},New York Commodity Exchange,COMEX
364,HVV21,US Midwest Steel CRU {Oct 21},New York Commodity Exchange,COMEX
365,HVX21,US Midwest Steel CRU {Nov 21},New York Commodity Exchange,COMEX
366,HVX22,US Midwest Steel CRU {Nov 22},New York Commodity Exchange,COMEX
367,HVZ21,US Midwest Steel CRU {Dec 21},New York Commodity Exchange,COMEX
368,AL,Aluminum,New York Commodity Exchange,COMEX
369,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
370,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
371,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
372,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
373,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
374,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
375,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
376,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
377,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
378,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
379,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
380,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
381,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
